event_time,user_id,event_type,page,device
2025-01-23 21:59:04,38,click,product,tablet
2025-01-26 20:07:04,6,scroll,product,tablet
2025-01-07 00:41:56,5,click,product,tablet
2025-01-07 03:53:57,27,view,checkout,tablet
2025-01-28 02:44:06,40,purchase,home,tablet
2025-01-24 16:18:02,57,scroll,product,tablet
2025-01-26 15:49:32,22,click,home,desktop
2025-01-27 15:33:01,92,click,checkout,mobile
2025-01-03 14:39:03,22,purchase,checkout,tablet
2025-01-20 09:37:09,12,purchase,home,mobile
2025-01-07 21:48:18,31,purchase,home,tablet
2025-01-01 17:49:10,3,scroll,home,tablet
2025-01-11 07:39:52,88,view,home,desktop
2025-01-08 23:16:27,16,scroll,home,desktop
2025-01-16 13:01:22,78,view,search,desktop
2025-01-02 23:59:00,77,scroll,checkout,desktop
2025-01-07 19:59:41,31,click,product,mobile
2025-01-04 03:32:06,20,view,checkout,desktop
2025-01-20 20:42:11,65,scroll,product,tablet
2025-01-01 16:30:32,28,scroll,checkout,tablet
2025-01-29 20:40:02,62,purchase,checkout,mobile
2025-01-23 09:25:08,94,click,product,mobile
2025-01-13 05:18:56,16,purchase,search,tablet
2025-01-04 07:36:13,34,click,product,tablet
2025-01-03 05:26:02,89,view,product,mobile
2025-01-11 02:25:27,23,click,home,tablet
2025-01-21 16:30:18,38,view,home,mobile
2025-01-14 09:53:31,32,view,home,desktop
2025-01-21 07:27:28,57,click,home,tablet
2025-01-13 21:55:23,53,scroll,search,mobile
2025-01-05 22:37:34,82,click,product,tablet
2025-01-01 08:16:13,35,purchase,product,desktop
2025-01-20 04:06:35,58,scroll,search,desktop
2025-01-01 17:04:39,24,scroll,product,mobile
2025-01-28 13:22:42,77,view,product,desktop
2025-01-12 05:08:45,2,click,product,mobile
2025-01-01 09:35:11,83,click,checkout,tablet
2025-01-08 05:52:42,1,purchase,search,tablet
2025-01-09 19:08:56,7,purchase,home,tablet
2025-01-10 16:58:29,5,click,home,mobile
2025-01-10 17:28:22,88,click,home,desktop
2025-01-24 16:28:34,81,view,checkout,desktop
2025-01-20 08:46:39,28,purchase,search,mobile
2025-01-17 17:57:50,38,scroll,search,tablet
2025-01-24 10:12:27,79,purchase,home,desktop
2025-01-07 20:37:01,25,purchase,home,tablet
2025-01-21 00:28:30,56,click,checkout,desktop
2025-01-13 06:45:31,88,click,home,mobile
2025-01-20 21:03:53,23,scroll,checkout,mobile
2025-01-20 10:47:51,14,view,home,mobile
2025-01-26 04:34:03,37,click,home,tablet
2025-01-01 12:38:54,78,view,home,desktop
2025-01-28 09:27:01,54,click,home,desktop
2025-01-12 22:05:01,24,scroll,product,desktop
2025-01-16 16:59:13,92,scroll,product,desktop
2025-01-20 18:34:09,63,scroll,product,tablet
2025-01-22 18:33:39,30,click,home,tablet
2025-01-08 01:54:08,55,purchase,checkout,mobile
2025-01-23 08:25:45,91,scroll,checkout,tablet
2025-01-21 22:55:18,70,scroll,search,mobile
2025-01-16 09:34:32,38,purchase,home,tablet
2025-01-09 01:12:51,83,view,home,tablet
2025-01-19 19:36:41,92,scroll,home,mobile
2025-01-27 02:18:20,65,click,home,tablet
2025-01-27 20:10:25,84,click,product,mobile
2025-01-24 08:10:27,79,click,home,desktop
2025-01-25 07:28:09,12,scroll,checkout,tablet
2025-01-25 18:06:56,29,view,product,desktop
2025-01-25 20:22:20,32,click,checkout,tablet
2025-01-20 15:40:18,92,click,home,desktop
2025-01-17 22:30:47,31,purchase,checkout,desktop
2025-01-12 14:39:33,20,view,search,mobile
2025-01-09 14:08:10,77,scroll,product,mobile
2025-01-26 01:03:46,69,purchase,home,desktop
2025-01-02 23:49:09,49,view,home,desktop
2025-01-19 05:30:46,73,click,product,tablet
